no.,chain_length,com_sep_nm,negative_force,std_force
1,0,2.1,14.413473400000047,5.0782611388440255
2,0,2.6,19.436103000000045,3.8686334174003765
3,0,3.1,10.051919325000043,4.898893483743399
4,0,3.6,14.347798062500047,4.945549263625591
5,0,4.1,22.211499949999823,10.099327824076534
6,0,4.6,13.188081949999821,10.272146497356655
7,0,5.1,0.04672762499982218,1.6871051784071387
8,0,5.6,0.2974906624998227,1.4187987424553117
9,0,6.1,-0.1269067125001781,1.2404204445961833
10,0,6.6,0.053860324999823184,1.0895257222134154
12,10,2.1,18.775337825000047,6.386590445349742
13,10,2.6,23.151612862500045,4.78554218020377
14,10,3.1,49.29733407500005,7.827804312190596
15,10,3.6,3.9541675875000437,5.049491358265827
16,10,4.1,15.839203124999818,10.182106089765146
17,10,4.6,-0.038422687500177785,4.22031721044262
18,10,5.1,-0.6463328250001766,4.666821519648986
19,10,5.6,0.32493178749982177,1.1696641697265973
20,10,6.1,0.5053420124998221,1.5832785930389854
21,10,6.6,0.1340407624998225,0.9430835313574281
23,20,2.1,15.002137650000043,7.005686092914296
24,20,2.6,19.335474525000045,3.5990222111900265
25,20,3.1,11.058963625000045,6.893383344906348
26,20,3.6,6.337288062500044,3.2879239848939896
27,20,4.1,10.69848266249982,3.9506007728726193
28,20,4.6,8.577145687499822,3.762671365385238
29,20,5.1,-0.1748161000001774,0.8773281079743215
30,20,5.6,3.745143237499822,5.442985258645454
31,20,6.1,0.42722301249982253,1.6473376464688387
32,20,6.6,-0.6387753750001777,2.6294691518037556
34,40,2.1,11.293287100000045,5.182088388451758
35,40,2.6,18.034940137500044,4.140775396292308
36,40,3.1,5.721429075000045,6.84476190962803
37,40,3.6,13.347952525000043,6.648568187936313
38,40,4.1,6.702260762499824,3.257080377817023
39,40,4.6,1.0340872999998223,4.241652371746378
40,40,5.1,-0.058781312500178026,1.0997469696090718
41,40,5.6,3.211090687499822,3.5244115892480017
42,40,6.1,-0.1793219500001769,0.9601833223570407
43,40,6.6,1.821430624999822,1.2862484649555237
44,1,4.89,1.1018366666665065,4.473971756359336
45,2,2.3,12.543704533333244,6.231459250745575
46,4,3.03,41.89350796666657,7.545835428484052
47,4,5.14,1.5007730666665051,1.929151489426348
48,5,4.18,6.626469499999856,3.0005385903544015
49,8,2.64,14.628905300000062,8.134130216025547
50,9,5.33,1.5464156000000346,2.391309390388985
51,11,5.05,-0.360816966666756,1.6813004030767518
52,12,3.84,-0.3553009000000711,5.20652879106266
53,13,2.68,24.019125900000077,3.6142819247530817
54,13,3.61,15.29339479999994,7.75640726408659
55,14,4.73,2.1017775000002117,3.9176418415762617
56,16,2.99,38.196710700000104,7.139473557749756
57,16,4.75,3.467546900000001,2.2746327770811954
58,17,3.21,38.217784066666646,6.7315060486644125
59,18,3.52,11.518332666666677,4.2253064871177335
60,22,4.46,16.722111533333315,10.989268515493803
61,24,2.69,20.559091599999977,5.822964421779111
62,24,3.85,4.866076766666711,4.829782608262763
63,27,3.96,2.7837674333333156,5.1787228218146115
64,28,3.35,4.716988300000044,4.627960675516243
65,29,4.38,-2.1677841000000533,3.4619144451835395
66,30,3.33,18.1556584666667,6.126301747839177
67,31,5.52,-0.3944342666668792,1.4043693602426186
68,35,4.59,-0.6404483000000705,4.355094150783283
69,37,3.35,1.5021191333333774,7.521588695070751
70,38,3.08,45.6279229666667,12.387975421817702
